,Area,Room,Parking,Warehouse,Elevator,Address,Price
0,63.0,1,1,1,1,156,1850000000.0
1,60.0,1,1,1,1,156,1850000000.0
2,79.0,2,1,1,1,117,550000000.0
3,95.0,2,1,1,1,152,902500000.0
4,123.0,2,1,1,1,150,7000000000.0
5,70.0,2,1,1,0,106,2050000000.0
6,87.0,2,1,1,1,117,600000000.0
7,59.0,1,1,1,1,156,2150000000.0
8,54.0,2,1,1,0,13,493000000.0
9,71.0,1,1,1,1,183,2370000000.0
10,68.0,2,1,1,1,183,2450000000.0
11,64.0,1,1,1,1,100,2100000000.0
12,54.0,1,0,1,1,100,1690000000.0
13,136.0,3,1,1,1,135,11000000000.0
14,95.0,2,1,1,1,188,5000000000.0
15,63.0,1,0,1,0,71,570000000.0
16,155.0,3,1,1,1,100,6700000000.0
17,64.0,2,0,1,0,120,1450000000.0
18,140.0,3,1,1,1,183,6400000000.0
19,42.0,1,0,1,0,120,1390000000.0
20,93.0,2,1,1,1,150,7000000000.0
21,87.0,2,1,1,1,154,2500000000.0
22,65.0,1,1,1,1,156,1880000000.0
23,99.0,2,1,1,1,99,2277000000.0
24,105.0,2,1,1,1,135,7150000000.0
25,160.0,3,1,1,1,179,14945000000.0
26,77.0,2,1,1,1,12,1771000000.0
27,123.0,2,1,1,1,120,4059000000.0
28,110.0,2,1,1,1,163,630000000.0
29,100.0,2,1,1,1,183,3200000000.0
30,90.0,2,0,1,0,141,1500000000.0
31,49.0,1,1,1,1,183,2200000000.0
32,96.0,2,1,1,1,190,7872000000.0
33,67.0,2,1,1,0,52,2350000000.0
34,68.0,2,1,1,1,183,2500000000.0
35,62.0,1,1,0,1,181,2150000000.0
36,55.0,1,1,1,1,183,2150000000.0
37,110.0,2,1,1,1,183,3750000000.0
38,129.0,2,1,1,1,183,5250000000.0
39,109.0,2,1,1,1,183,4830000000.0
40,58.0,1,1,1,1,135,3400000000.0
41,55.0,1,1,1,1,135,3850000000.0
42,150.0,2,0,1,1,152,1200000000.0
44,130.0,3,1,1,0,147,5000000000.0
45,88.0,2,1,1,1,61,4750000000.0
46,51.0,1,1,1,1,61,2980000000.0
47,113.0,3,1,1,0,150,7000000000.0
48,110.0,2,1,1,1,128,2035000000.0
49,60.0,1,1,1,1,1,2460000000.0
50,98.0,2,1,1,1,117,540000000.0
51,62.0,2,0,0,1,111,1450000000.0
52,150.0,3,1,1,1,50,10000000000.0
53,75.0,2,0,0,0,115,635000000.0
54,61.0,1,1,1,0,122,2030000000.0
55,61.0,1,1,1,0,122,2030000000.0
56,72.0,2,1,1,1,156,2350000000.0
57,100.0,2,1,1,1,125,3000000000.0
58,122.0,3,1,1,1,14,7200000000.0
59,215.0,3,1,1,1,113,1750000000.0
60,101.0,2,1,1,1,127,3300000000.0
61,67.0,2,1,1,1,122,2800000000.0
62,72.0,2,1,1,0,122,2200000000.0
63,63.0,1,1,1,0,122,2200000000.0
64,75.0,2,1,1,0,122,2200000000.0
65,109.0,2,1,1,1,156,3500000000.0
66,122.0,2,1,1,1,14,7000000000.0
67,70.0,1,1,1,1,26,3100000000.0
68,60.0,1,1,1,1,183,2450000000.0
69,53.0,1,1,1,0,40,1920000000.0
70,90.0,1,0,1,0,114,850000000.0
71,72.0,2,1,1,1,12,1650000000.0
72,74.0,2,1,1,1,12,1700000000.0
73,88.0,3,0,0,1,115,560000000.0
74,63.0,1,1,1,1,122,2150000000.0
75,114.0,3,1,1,1,142,5500000000.0
76,151.0,3,1,1,1,135,10200000000.0
77,42.0,1,1,0,1,156,1760000000.0
78,74.0,2,1,1,1,12,1700000000.0
79,88.0,3,0,0,1,115,560000000.0
80,63.0,1,1,1,1,122,2150000000.0
81,114.0,3,1,1,1,142,5500000000.0
82,151.0,3,1,1,1,135,10200000000.0
83,42.0,1,1,0,1,156,1760000000.0
84,300.0,3,1,1,0,21,1500000000.0
85,110.0,2,1,1,1,183,3730000000.0
86,100.0,2,0,0,0,152,620000000.0
87,140.0,1,0,0,0,157,580000000.0
88,70.0,2,1,1,1,108,3050000000.0
89,60.0,2,1,1,0,183,2000000000.0
90,76.0,2,1,1,1,106,2600000000.0
91,148.0,3,1,1,1,35,5990000000.0
92,75.0,2,1,1,1,106,2300000000.0
93,40.0,1,1,1,0,120,1300000000.0
94,65.0,2,1,1,1,164,2270000000.0
95,140.0,3,1,1,1,134,4000000000.0
96,110.0,2,1,1,1,184,4000000000.0
97,70.0,2,1,0,1,4,1650000000.0
98,128.0,3,1,1,1,93,6700000000.0
99,94.0,2,1,1,1,115,580000000.0
100,67.0,1,1,1,1,122,2300000000.0
101,75.0,1,1,1,1,152,650000000.0
102,130.0,2,1,1,1,39,16900000000.0
103,40.0,0,0,0,0,152,248000000.0
104,97.0,2,1,1,1,117,510000000.0
105,110.0,2,1,1,1,156,3850000000.0
106,150.0,3,1,1,1,138,6000000000.0
107,75.0,2,0,0,0,27,780000000.0
108,137.0,3,1,1,1,147,7200000000.0
109,85.0,2,1,1,1,115,410000000.0
110,68.0,2,0,1,0,113,430000000.0
111,78.0,2,0,1,0,23,800000000.0
112,85.0,2,1,1,1,115,545000000.0
113,100.0,2,1,1,0,115,1280000000.0
114,71.0,2,1,1,1,122,2800000000.0
115,140.0,3,1,1,1,61,11200000000.0
116,136.0,3,1,1,0,115,750000000.0
117,48.0,1,0,0,0,74,850000000.0
118,100.0,2,1,1,1,88,3300000000.0
119,82.0,2,1,0,1,158,3280000000.0
120,120.0,3,1,1,1,51,4800000000.0
121,139.0,3,1,1,1,61,7300000000.0
122,110.0,3,1,1,1,81,3950000000.0
123,78.0,2,0,0,1,115,370000000.0
124,79.0,2,0,0,0,21,750000000.0
125,66.0,2,1,1,1,141,1725000000.0
126,78.0,2,1,1,1,76,780000000.0
127,85.0,2,1,1,1,157,1419000000.0
128,100.0,2,1,1,0,124,1200000000.0
129,80.0,2,1,1,1,110,3600000000.0
130,44.0,1,1,1,0,141,1050000000.0
131,120.0,2,1,1,0,157,1200000000.0
132,50.0,1,0,1,0,152,340000000.0
133,121.0,3,1,1,0,111,3300000000.0
134,80.0,2,1,1,1,19,2800000000.0
135,70.0,2,0,1,1,22,1200000000.0
136,160.0,1,0,0,0,124,3600000.0
137,40.0,0,0,0,0,113,165000000.0
138,88.0,2,1,1,1,127,2860000000.0
139,141.0,3,1,1,1,119,3810000000.0
140,140.0,3,1,1,1,119,1790000000.0
141,120.0,2,1,1,1,119,1530000000.0
142,66.0,2,0,1,0,24,1000000000.0
143,70.0,2,1,1,1,122,3500000000.0
144,75.0,2,1,0,1,69,3000000000.0
145,70.0,2,0,1,1,45,1800000000.0
146,150.0,3,1,1,1,135,20000000000.0
147,95.0,2,1,1,1,62,950000000.0
148,127.0,2,1,1,1,163,6000000000.0
149,123.0,3,1,1,1,146,3700000000.0
150,63.0,2,1,1,1,163,2000000000.0
151,90.0,2,1,1,1,122,3050000000.0
152,105.0,2,1,1,1,117,605000000.0
153,180.0,3,1,1,1,118,9900000000.0
154,120.0,3,1,0,1,120,3700000000.0
155,65.0,2,1,1,1,52,2500000000.0
156,158.0,3,1,1,1,50,10480000000.0
157,144.0,3,1,1,1,29,7632000000.0
158,144.0,3,1,1,1,122,7632000000.0
159,130.0,3,1,1,1,57,12300000000.0
160,245.0,3,1,1,1,50,26950000000.0
161,190.0,3,1,1,1,77,24300000000.0
162,63.0,2,1,1,1,26,3000000000.0
163,75.0,2,1,1,1,40,2100000000.0
164,88.0,2,1,0,1,60,4700000000.0
165,108.0,2,1,1,1,118,9180000000.0
166,117.0,2,1,1,1,71,1579500000.0
167,200.0,3,1,1,1,118,12000000000.0
168,65.0,1,1,1,0,120,1750000000.0
169,90.0,2,1,1,1,26,3780000000.0
170,125.0,2,1,1,1,68,8100000000.0
171,140.0,3,1,1,1,68,9100000000.0
172,71.0,2,0,1,1,65,1550000000.0
173,71.0,2,0,1,1,74,1640000000.0
174,236.0,4,1,1,1,57,20000000000.0
175,67.0,2,1,1,1,26,2750000000.0
176,60.0,1,1,1,1,122,1750000000.0
177,220.0,3,1,1,1,68,15400000000.0
178,44.0,1,1,1,0,13,350000000.0
179,68.0,1,1,1,1,68,4115000000.0
180,100.0,2,1,1,1,118,8000000000.0
181,86.0,2,1,1,1,117,580000000.0
182,84.0,2,1,1,1,117,560000000.0
183,94.0,2,1,1,1,68,4800000000.0
184,55.0,1,0,1,0,183,1550000000.0
185,113.0,2,1,1,1,135,7500000000.0
186,71.0,2,1,1,1,71,630000000.0
187,70.0,2,1,1,0,36,2000000000.0
188,200.0,3,1,1,1,62,2400000000.0
189,106.0,2,1,1,1,62,1100000000.0
190,320.0,4,1,1,1,135,24000000000.0
191,114.0,2,1,1,1,184,3820000000.0
192,100.0,2,1,1,1,122,6000000000.0
193,122.0,2,1,1,1,135,5800000000.0
194,200.0,2,1,1,0,31,3500000000.0
195,154.0,3,1,1,1,135,12300000000.0
196,210.0,3,1,1,1,118,15750000000.0
197,200.0,3,1,1,1,40,11000000000.0
198,65.0,1,1,1,1,163,3000000000.0
199,124.0,3,1,1,1,120,3968000000.0
200,83.0,2,1,1,1,132,1909000000.0
201,270.0,4,1,1,1,50,37800000000.0
202,104.0,2,1,1,1,40,5700000000.0
203,150.0,3,1,1,1,189,10490000000.0
204,103.0,3,1,1,1,183,3200000000.0
205,48.0,1,1,1,1,183,1920000000.0
206,165.0,3,1,1,1,57,12300000000.0
207,135.0,2,1,1,0,57,7400000000.0
208,86.0,2,1,1,1,135,6200000000.0
209,75.0,2,1,1,1,40,2350000000.0
210,58.0,1,1,1,1,40,1850000000.0
211,125.0,2,1,1,1,150,21500000000.0
212,82.0,2,1,1,1,126,1886000000.0
213,58.0,2,1,1,1,156,2200000000.0
214,101.0,2,1,1,1,24,2323000000.0
215,90.0,2,1,1,1,105,6800000000.0
216,180.0,3,1,1,1,50,20700000000.0
217,132.0,3,1,1,1,57,6250000000.0
218,81.0,2,1,1,1,176,1863000000.0
219,153.0,3,1,1,1,118,13000000000.0
220,166.0,3,1,1,1,123,12500000000.0
221,200.0,3,1,1,1,118,17000000000.0
222,113.0,2,1,1,1,118,8500000000.0
223,100.0,2,1,1,1,176,2300000000.0
224,80.0,2,1,1,1,26,3350000000.0
225,76.0,2,1,1,1,74,2000000000.0
226,128.0,3,1,1,1,122,5700000000.0
227,210.0,3,1,1,1,150,27000000000.0
228,140.0,2,1,1,1,150,12600000000.0
229,74.0,2,1,1,1,10,1702000000.0
230,75.0,1,1,1,1,26,3000000000.0
231,120.0,2,1,1,1,118,7500000000.0
232,120.0,2,1,1,1,118,7500000000.0
233,85.0,2,1,1,1,43,5000000000.0
234,105.0,2,1,1,1,117,700000000.0
235,175.0,3,1,1,1,50,15600000000.0
236,170.0,3,1,1,1,50,15350000000.0
237,58.0,1,1,1,1,42,2810000000.0
238,75.0,2,1,1,1,115,395000000.0
239,160.0,3,1,1,1,57,15100000000.0
240,62.0,1,1,1,1,156,1850000000.0
241,93.0,2,1,1,1,134,1450000000.0
242,75.0,2,1,1,1,71,715000000.0
243,86.0,2,1,1,0,71,1200000000.0
244,120.0,2,1,1,1,164,4260000000.0
245,95.0,2,1,1,1,13,1500000000.0
246,70.0,2,1,1,0,183,2120000000.0
247,75.0,2,1,1,0,40,2000000000.0
248,81.0,2,1,0,1,117,590000000.0
249,65.0,1,1,1,0,183,1930000000.0
250,75.0,2,1,1,1,40,2730000000.0
251,106.0,2,1,1,0,40,3150000000.0
252,115.0,2,1,1,1,40,4600000000.0
253,100.0,2,1,1,1,146,3000000000.0
254,118.0,2,1,1,1,40,4500000000.0
255,116.0,2,1,1,1,40,5100000000.0
256,76.0,2,1,1,1,146,2200000000.0
257,74.0,2,1,1,0,40,2300000000.0
258,96.0,2,1,1,1,135,4500000000.0
259,87.0,2,1,1,1,117,625000000.0
260,43.0,1,1,1,0,108,1620000000.0
261,155.0,3,1,1,1,105,17050000000.0
262,53.0,1,1,1,1,40,1920000000.0
263,160.0,3,1,1,1,50,17600000000.0
264,78.0,2,1,1,1,146,2250000000.0
265,230.0,3,1,1,1,105,25300000000.0
266,55.0,1,1,1,1,183,1850000000.0
267,120.0,2,1,1,0,135,11700000000.0
268,78.0,2,1,1,1,163,3600000000.0
269,95.0,2,1,1,1,163,4400000000.0
270,170.0,3,1,1,1,57,15400000000.0
271,175.0,3,1,1,1,150,22750000000.0
272,115.0,3,1,1,1,122,4500000000.0
273,113.0,2,1,1,1,122,4300000000.0
274,85.0,2,1,1,1,122,3380000000.0
275,140.0,3,1,1,1,135,10000000000.0
276,90.0,2,1,1,1,135,6500000000.0
277,63.0,1,1,0,0,122,2200000000.0
278,75.0,2,1,1,1,26,3220000000.0
279,130.0,3,1,1,1,122,6240000000.0
280,91.0,2,1,1,1,122,3350000000.0
281,121.0,3,1,1,1,119,3650000000.0
282,140.0,3,1,1,1,135,15500000000.0
283,126.0,2,1,1,1,40,5500000000.0
284,450.0,2,1,1,0,2,4200000000.0
285,500.0,2,1,1,0,2,3900000000.0
286,110.0,1,1,1,1,118,6600000000.0
287,145.0,3,1,1,1,63,4700000000.0
288,81.0,2,1,1,1,152,810000000.0
289,64.0,2,1,1,1,146,2200000000.0
290,112.0,2,1,1,1,146,3680000000.0
291,192.0,3,1,1,1,93,12670000000.0
292,164.0,3,1,1,1,93,10000000000.0
293,135.0,3,1,1,1,118,8100000000.0
294,170.0,3,1,1,1,89,9200000000.0
295,130.0,3,1,1,1,89,5200000000.0
296,84.0,2,1,1,1,156,3400000000.0
297,82.0,2,1,1,1,156,3550000000.0
298,265.0,3,1,1,1,50,20000000000.0
299,60.0,1,1,1,1,163,1950000000.0
300,145.0,3,1,1,1,118,15500000000.0
301,65.0,1,0,1,1,163,2000000000.0
302,60.0,1,1,1,0,163,2280000000.0
303,63.0,2,1,1,1,163,2000000000.0
304,70.0,2,1,1,1,163,1950000000.0
305,92.0,2,1,1,1,52,3900000000.0
306,98.0,2,1,1,1,118,7800000000.0
307,62.0,1,1,1,1,163,2280000000.0
308,65.0,1,1,1,1,122,2900000000.0
309,90.0,2,1,1,1,112,5000000000.0
310,59.0,2,1,1,1,163,1900000000.0
311,63.0,2,1,1,1,163,2000000000.0
312,60.0,2,1,1,1,163,2200000000.0
313,70.0,2,1,1,1,163,2500000000.0
314,60.0,1,1,1,1,163,2200000000.0
315,165.0,3,1,1,1,118,10500000000.0
316,135.0,2,1,1,1,189,17500000000.0
317,65.0,1,1,1,1,163,2000000000.0
318,60.0,1,1,1,1,163,2250000000.0
319,60.0,1,1,1,1,163,2250000000.0
320,86.0,2,1,1,1,163,3600000000.0
321,109.0,2,1,1,1,68,6000000000.0
322,98.0,2,1,1,0,100,2842000000.0
323,80.0,2,1,1,1,26,3120000000.0
324,143.0,3,1,1,1,57,8860000000.0
325,95.0,2,1,1,1,135,4550000000.0
326,86.0,2,1,1,1,122,3700000000.0
327,160.0,3,1,1,1,57,10000000000.0
328,200.0,3,1,1,1,118,16580000000.0
329,74.0,1,1,1,1,122,3250000000.0
330,350.0,3,1,1,1,189,52500000000.0
331,87.0,2,1,1,1,108,3550000000.0
332,82.0,2,1,1,1,183,3450000000.0
333,55.0,1,1,1,1,146,2490000000.0
334,148.0,3,1,1,1,43,8400000000.0
335,55.0,1,1,0,1,146,2020000000.0
336,100.0,2,1,1,0,163,3800000000.0
337,55.0,1,0,1,0,183,1550000000.0
338,130.0,3,1,1,1,26,5300000000.0
